#Num,collapses/collapsed,reconstruction/irreparable,reconstruction/cost_impractical,reconstruction/cost,reconstruction/time_impractical,reconstruction/time-sequential,reconstruction/time-parallel,event_time/month,event_time/weekday?,event_time/hour
1797,0.0,0.0,0.0,1135504.1601964324,0.0,985.2810928825021,184.48325140991017,10,1,0
1798,0.0,0.0,0.0,1502367.7791092796,0.0,1424.149273313593,264.2456759683288,4,1,21
1799,0.0,0.0,0.0,2669983.9437209587,0.0,1267.3438145198534,278.9475339208942,5,1,21
1800,0.0,0.0,0.0,640952.8213389604,0.0,600.3970727967214,72.93987613403829,2,1,16
1801,0.0,0.0,0.0,716575.2877120818,0.0,577.2959904230007,129.3686522391929,1,1,14
1802,0.0,0.0,0.0,1968919.539091553,0.0,1343.0468592917696,261.0890171031217,3,1,8
1803,0.0,0.0,0.0,923299.503386983,0.0,699.2265688404434,104.31492263244154,4,1,2
1804,0.0,0.0,0.0,1018525.7209122948,0.0,1064.5846989168313,220.67643646268374,7,1,23
1805,0.0,0.0,0.0,1038819.2986686463,0.0,836.1622291033409,221.50786443787896,12,1,21
1806,0.0,0.0,0.0,2038305.6468920629,0.0,1788.7587328024806,211.9458251117315,12,0,11
1807,0.0,0.0,0.0,911491.0470379895,0.0,776.3822439922371,134.98302452595996,8,0,15
1808,0.0,0.0,0.0,1417668.7807878945,0.0,1263.2763935046612,469.636741343781,10,0,18
1809,0.0,0.0,0.0,1516986.913593828,0.0,1434.886368926788,367.6356036238293,10,0,4
1810,0.0,0.0,0.0,1837039.3220929273,0.0,1343.800936856806,416.51873202369984,5,0,7
1811,0.0,0.0,0.0,788077.7084693396,0.0,564.8715732027633,188.06645340712785,3,0,5
1812,0.0,0.0,0.0,335265.61107973853,0.0,349.5590246980535,32.87915234082485,12,1,19
1813,0.0,0.0,0.0,1718545.539777416,0.0,1609.8433202046103,347.9256810098997,3,1,8
1814,0.0,0.0,0.0,1930786.6754530645,0.0,1284.8139049751978,124.81712446779555,10,0,6
1815,0.0,0.0,0.0,1070626.5707678532,0.0,699.8659640334538,116.44011883270775,10,1,16
1816,0.0,0.0,0.0,1313986.8557688922,0.0,1031.294884117579,176.09853657112984,9,1,10
1817,0.0,0.0,0.0,1344651.9477793518,0.0,987.8035493620268,189.97044984745693,11,1,22
1818,0.0,0.0,0.0,1573202.395013743,0.0,1249.8110765025156,339.02754721222436,6,1,2
1819,0.0,0.0,0.0,1394044.0685081924,0.0,1041.7183033940491,173.73634498608453,9,1,15
1820,0.0,0.0,0.0,2195890.940565063,0.0,1407.86247936532,347.300759012005,1,1,11
1821,0.0,0.0,0.0,1975891.9155504426,0.0,1163.6952871413519,247.68228410786102,4,1,16
1822,0.0,0.0,0.0,861516.5776126067,0.0,686.1520303511468,137.75217848708084,7,1,6
1823,0.0,0.0,0.0,1377851.9369313288,0.0,951.8214839537216,140.12270458851015,8,0,21
1824,0.0,0.0,0.0,1242296.2750992477,0.0,896.8674727119366,129.54057767063134,12,0,13
1825,0.0,0.0,0.0,966691.8964395708,0.0,878.9125549058688,255.52588883200423,12,1,23
1826,0.0,0.0,0.0,959909.2818729621,0.0,757.644062566922,146.2907182872951,1,1,11
1827,0.0,0.0,0.0,1783683.302779498,0.0,1123.9797460050559,166.13131812147913,6,1,20
1828,0.0,0.0,0.0,908885.1206499783,0.0,872.5534229538921,194.83414927230953,2,1,11
1829,0.0,0.0,0.0,655201.3892766229,0.0,516.2825947422,179.3841632838653,5,1,15
1830,0.0,0.0,0.0,1306816.5997107625,0.0,1091.4515968885955,222.5936759260423,2,1,0
1831,0.0,0.0,0.0,975942.6963767873,0.0,738.8868066516379,104.93149111317516,3,1,21
1832,0.0,0.0,0.0,962673.5844871586,0.0,677.473988068361,106.38785521480841,8,1,10
1833,0.0,0.0,0.0,1438067.1972009663,0.0,1144.6053255124548,193.44999111073062,10,1,22
1834,0.0,0.0,0.0,793011.5027426011,0.0,694.3238674660632,125.15021813326811,7,1,1
1835,0.0,0.0,0.0,983957.0189495746,0.0,778.703446663365,130.07571796016262,3,1,15
1836,0.0,0.0,0.0,1543951.2576828692,0.0,1219.5149996508671,137.15790107875716,1,1,11
1837,0.0,0.0,0.0,964739.1063019098,0.0,959.7721397270725,156.5632477287715,4,1,8
1838,0.0,0.0,0.0,1126181.7976813084,0.0,1034.5377405495842,195.0264427343456,7,1,10
